order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,,2024-07-20,165,5,283.49,1417.45,Completed,2024-07-21
2,,2022-05-20,265,2,201.30,402.60,Completed,2022-05-23
3,,2023-08-25,124,2,108.26,216.52,Completed,2023-08-29
4,,2026-01-28,179,3,370.59,1111.77,Completed,2026-01-29
5,,2025-11-01,392,3,328.45,985.35,Completed,2025-11-05
6,,2024-06-23,104,3,325.54,976.62,Pending,
7,,2025-01-20,29,3,211.35,634.05,Completed,2025-01-22
8,,2022-10-13,40,4,127.80,511.20,Completed,2022-10-16
9,,2022-06-03,395,3,280.32,840.96,Completed,2022-06-05
10,,2026-08-13,264,4,93.67,374.68,Completed,2026-08-14
11,,2024-04-17,359,2,245.08,490.16,Completed,2024-04-17
12,,2026-07-30,132,1,179.03,179.03,Completed,2026-08-03
13,,2025-06-30,23,8,103.64,829.12,Completed,2025-07-01
14,,2024-04-19,141,2,325.44,650.88,Completed,2024-04-22
15,,2025-03-02,93,4,411.79,1647.16,Cancelled,
16,,2024-12-17,204,1,270.67,270.67,Pending,
17,,2024-11-07,327,5,236.61,1183.05,Completed,2024-11-10
18,,2022-10-24,416,3,387.80,1163.40,Completed,2022-10-26
19,,2026-06-06,138,2,139.02,278.04,Completed,2026-06-07
20,,2025-01-29,343,5,113.93,569.65,Completed,2025-01-29
21,,2026-08-06,374,6,58.91,353.46,Completed,2026-08-10
22,,2026-05-08,87,1,122.88,122.88,Pending,
23,,2024-08-09,421,3,78.58,235.74,Completed,2024-08-12
24,,2022-10-10,450,3,12.44,37.32,Completed,2022-10-12
25,,2025-08-02,412,1,183.72,183.72,Cancelled,
26,,2022-06-11,459,1,16.62,16.62,Completed,2022-06-15
27,,2023-07-17,3,3,177.69,533.07,Completed,2023-07-19
28,,2026-02-15,101,1,264.56,264.56,Completed,2026-02-18
29,,2025-09-27,386,4,413.82,1655.28,Completed,2025-09-29
30,,2023-09-03,487,4,167.95,671.80,Completed,2023-09-07
31,,2021-07-31,303,5,68.92,344.60,Cancelled,
32,,2023-03-20,285,2,176.20,352.40,Completed,2023-03-24
33,,2025-08-02,153,4,53.86,215.44,Completed,2025-08-06
34,,2026-08-06,23,6,103.64,621.84,Completed,2026-08-07
35,,2026-02-28,465,1,190.39,190.39,Completed,2026-03-04
36,,2026-01-05,208,1,25.37,25.37,Completed,2026-01-07
37,,2025-07-06,156,6,302.19,1813.14,Completed,2025-07-06
38,,2026-05-25,414,1,329.34,329.34,Completed,2026-05-28
39,,2025-07-10,178,5,401.74,2008.70,Completed,2025-07-14
40,,2025-11-02,331,7,238.23,1667.61,Completed,2025-11-05
41,,2022-09-16,84,2,414.58,829.16,Completed,2022-09-17
42,,2024-12-17,130,1,270.01,270.01,Completed,2024-12-18
43,,2024-05-24,294,7,378.86,2652.02,Completed,2024-05-27
44,,2026-07-04,379,2,365.76,731.52,Completed,2026-07-05
45,,2026-01-18,303,6,68.92,413.52,Completed,2026-01-20
46,,2025-09-07,427,2,363.79,727.58,Completed,2025-09-10
47,,2022-05-17,69,2,257.17,514.34,Completed,2022-05-21
48,,2022-02-21,348,3,257.35,772.05,Completed,2022-02-22
49,,2023-07-10,477,3,125.92,377.76,Completed,2023-07-11
50,,2025-09-19,378,2,9.87,19.74,Completed,2025-09-21
51,,2024-01-28,12,2,320.36,640.72,Pending,
52,,2025-09-16,397,1,297.39,297.39,Completed,2025-09-16
53,,2025-06-17,98,4,276.17,1104.68,Completed,2025-06-21
54,,2026-05-18,279,6,225.99,1355.94,Completed,2026-05-20
55,,2022-07-28,171,6,70.81,424.86,Completed,2022-07-31
56,,2024-01-30,50,3,199.30,597.90,Completed,2024-01-31
57,,2026-05-12,499,1,317.66,317.66,Pending,
58,,2026-07-26,211,5,386.75,1933.75,Completed,2026-07-30
