product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,,Electronics,374.18,198.32,78,49
2,,Clothing,258.48,183.52,266,19
3,,Home,177.69,103.06,356,56
4,,Sports,218.65,137.75,233,23
5,,Beauty,135.53,92.16,470,15
6,,Books,85.11,51.92,201,7
7,,Toys,123.13,61.56,174,5
8,,Grocery,81.93,54.89,207,36
9,,Electronics,271.32,127.52,253,56
10,,Clothing,220.29,134.38,412,42
11,Northpeak Ceramic Mug,,236.15,162.94,475,30
12,Blueharbor Resistance Bands,,320.36,205.03,127,33
13,Sunfield Hair Serum,,304.54,146.18,90,42
14,Ironleaf Colouring Book,,127.14,62.30,413,37
15,Coral Bay RC Car,,417.04,266.91,23,23
16,Maple & Co Dark Chocolate,Grocery,94.94,118.68,328,15
17,Redstone Webcam,Electronics,187.22,234.03,289,5
18,Quietline Crew Socks,Clothing,218.42,273.03,171,59
19,AeroNest Plant Pot,Home,56.17,70.21,405,59
20,Lumen Foam Roller,Sports,48.54,60.68,244,5
21,Northpeak Face Moisturiser,Beauty,364.85,456.06,390,37
22,Blueharbor Cookbook,Books,92.09,115.11,355,10
23,Sunfield Board Game,Toys,103.64,129.55,24,15
24,Ironleaf Olive Oil,Grocery,286.13,188.85,-6,23
25,Coral Bay Laptop Stand,Electronics,81.60,56.30,-7,30
26,Maple & Co Trail Shorts,Clothing,160.93,85.29,-8,35
27,Redstone Duvet Cover,Home,131.08,69.47,-9,14
28,Quietline Jump Rope,Sports,236.09,167.62,-3,47
29,AeroNest Shampoo,Beauty,211.35,135.26,9,9
30,Lumen Notebook Set,Books,147.45,64.88,463,26
31,Northpeak Building Blocks,Toys,416.17,233.06,275,50
32,Blueharbor Green Tea Box,Grocery,265.17,188.27,153,12
33,Sunfield Bluetooth Speaker,Electronics,27.50,14.85,406,6
34,Ironleaf Wool Sweater,Clothing,315.12,220.58,431,12
35,Coral Bay Cutlery Set,Home,175.22,124.41,353,60
36,Maple & Co Soccer Ball,Sports,34.14,17.75,48,33
37,Redstone Nail Kit,Beauty,163.00,70.09,362,15
38,Quietline Science Magazine,Books,127.77,80.50,200,43
39,AeroNest STEM Robot Kit,Toys,197.96,118.78,269,10
40,Lumen Nut Mix,Grocery,127.80,62.62,361,57
41,Northpeak Wireless Headphones,Electronics,166.55,101.60,239,26
42,Blueharbor Denim Jeans,Clothing,195.95,131.29,193,21
43,Sunfield Desk Lamp,Home,169.09,72.71,292,17
44,Ironleaf Dumbbell Pair,Sports,117.45,84.56,221,6
45,Coral Bay Body Wash,Beauty,160.62,78.70,276,39
46,Maple & Co Kids Picture Book,Books,71.59,43.67,319,50
47,Redstone Action Figure,Toys,249.98,137.49,212,29
48,Quietline Honey Jar,Grocery,306.67,177.87,408,59
49,AeroNest Smart Watch,Electronics,394.08,260.09,67,37
50,Lumen Cap,Clothing,199.30,103.64,292,7
51,Northpeak Ceramic Mug,Home,125.77,64.14,18,17
52,Blueharbor Resistance Bands,Sports,179.77,88.09,164,38
53,Sunfield Hair Serum,Beauty,190.47,99.04,78,56
54,Ironleaf Colouring Book,Books,313.79,144.34,296,20
55,Coral Bay RC Car,Toys,364.83,218.90,451,15
56,Maple & Co Dark Chocolate,Grocery,71.90,46.02,318,18
57,Redstone Webcam,Electronics,370.04,222.02,360,23
58,Quietline Crew Socks,Clothing,128.20,89.74,43,43
59,AeroNest Plant Pot,Home,74.04,48.87,148,59
60,Lumen Foam Roller,Sports,301.32,156.69,233,43
61,Northpeak Face Moisturiser,Beauty,259.08,111.40,28,28
62,Blueharbor Cookbook,Books,83.22,44.94,408,59
63,Sunfield Board Game,Toys,359.05,211.84,75,20
64,Ironleaf Olive Oil,Grocery,30.24,18.45,222,27
65,Coral Bay Laptop Stand,Electronics,191.23,110.91,109,33
66,Maple & Co Trail Shorts,Clothing,295.04,179.97,197,11
67,Redstone Duvet Cover,Home,405.49,178.42,58,20
68,Quietline Jump Rope,Sports,171.46,96.02,202,36
69,AeroNest Shampoo,Beauty,257.17,169.73,344,49
70,Lumen Notebook Set,Books,272.70,174.53,376,13
71,Northpeak Building Blocks,Toys,118.69,71.21,253,18
72,Blueharbor Green Tea Box,Grocery,199.98,119.99,249,25
73,Sunfield Bluetooth Speaker,Electronics,142.31,79.69,68,56
74,Ironleaf Wool Sweater,Clothing,61.16,40.98,164,26
75,Coral Bay Cutlery Set,Home,115.65,49.73,91,39
76,Maple & Co Soccer Ball,Sports,297.96,205.59,150,24
77,Redstone Nail Kit,Beauty,90.60,63.42,278,13
78,Quietline Science Magazine,Books,162.42,97.45,214,41
79,AeroNest STEM Robot Kit,Toys,121.80,56.03,353,29
80,Lumen Nut Mix,Grocery,166.48,83.24,287,38
81,Northpeak Wireless Headphones,Electronics,182.83,104.21,306,30
82,Blueharbor Denim Jeans,Clothing,255.64,107.37,400,35
83,Sunfield Desk Lamp,Home,220.78,108.18,475,10
84,Ironleaf Dumbbell Pair,Sports,414.58,211.44,284,49
85,Coral Bay Body Wash,Beauty,105.47,63.28,389,51
86,Maple & Co Kids Picture Book,Books,378.30,192.93,35,35
87,Redstone Action Figure,Toys,122.88,62.67,246,22
88,Quietline Honey Jar,Grocery,83.52,36.75,78,28
89,AeroNest Smart Watch,Electronics,130.61,67.92,85,35
90,Lumen Cap,Clothing,238.36,104.88,316,26
91,Northpeak Ceramic Mug,Home,110.93,74.32,91,40
92,Blueharbor Resistance Bands,Sports,203.02,140.08,241,25
93,Sunfield Hair Serum,Beauty,411.79,280.02,133,44
94,Ironleaf Colouring Book,Books,57.74,28.87,416,5
95,Coral Bay RC Car,Toys,105.42,61.14,294,6
96,Maple & Co Dark Chocolate,Grocery,100.94,54.51,314,43
97,Redstone Webcam,Electronics,291.50,180.73,17,17
98,Quietline Crew Socks,Clothing,276.17,146.37,261,35
99,AeroNest Plant Pot,Home,196.32,135.46,248,27
100,Lumen Foam Roller,Sports,18.66,8.96,342,48
101,Northpeak Face Moisturiser,Beauty,264.56,177.26,315,45
102,Blueharbor Cookbook,Books,78.18,40.65,239,58
103,Sunfield Board Game,Toys,259.54,186.87,252,49
104,Ironleaf Olive Oil,Grocery,325.54,211.60,422,30
105,Coral Bay Laptop Stand,Electronics,343.28,154.48,253,54
106,Maple & Co Trail Shorts,Clothing,205.97,119.46,100,31
107,Redstone Duvet Cover,Home,174.54,96.00,399,59
108,Quietline Jump Rope,Sports,224.63,98.84,469,19
109,AeroNest Shampoo,Beauty,335.45,218.04,208,18
110,Lumen Notebook Set,Books,333.63,153.47,13,13
111,Northpeak Building Blocks,Toys,65.39,43.16,74,24
112,Blueharbor Green Tea Box,Grocery,289.68,173.81,223,24
113,Sunfield Bluetooth Speaker,Electronics,17.76,8.88,211,28
114,Ironleaf Wool Sweater,Clothing,341.09,170.54,257,33
115,Coral Bay Cutlery Set,Home,19.04,9.71,209,24
116,Maple & Co Soccer Ball,Sports,117.74,83.60,135,57
117,Redstone Nail Kit,Beauty,112.65,66.46,180,23
118,Quietline Science Magazine,Books,49.17,22.13,246,29
119,AeroNest STEM Robot Kit,Toys,76.96,53.10,341,7
120,Lumen Nut Mix,Grocery,357.08,224.96,450,38
121,Northpeak Wireless Headphones,Electronics,261.11,180.17,477,37
122,Blueharbor Denim Jeans,Clothing,74.12,31.13,20,20
123,Sunfield Desk Lamp,Home,285.24,134.06,17,17
124,Ironleaf Dumbbell Pair,Sports,108.26,58.46,21,21
125,Coral Bay Body Wash,Beauty,268.24,144.85,226,44
126,Maple & Co Kids Picture Book,Books,179.66,77.25,48,43
127,Redstone Action Figure,Toys,76.55,37.51,53,53
128,Quietline Honey Jar,Grocery,381.19,175.35,161,5
129,AeroNest Smart Watch,Electronics,399.16,275.42,70,25
130,Lumen Cap,Clothing,270.01,140.41,361,22
131,Northpeak Ceramic Mug,Home,293.96,135.22,224,38
132,Blueharbor Resistance Bands,Sports,179.03,119.95,341,56
133,Sunfield Hair Serum,Beauty,78.68,43.27,477,51
134,Ironleaf Colouring Book,Books,401.33,236.78,443,17
135,Coral Bay RC Car,Toys,339.09,166.15,432,26
